display_name,url,class,style,id,title,target,url_type
BATCH STATUS,Default.aspx?Module=01b6310d-ec6d-490d-9448-0d8bc6d6dcf6,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CURRENT DAY ADJUSTMENT,Default.aspx?Module=0c86762a-0b51-4961-b40f-b07bc2c9a2eb,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
RECAP,Default.aspx?Module=ffd11718-765c-491d-9e2f-8eb0a35b5403,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER,Default.aspx?Module=ccccfad5-8e20-40d0-812c-729f6c581663,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER TICKET KEY-IN,Default.aspx?Module=ae362b3a-f1a7-40eb-8525-b058d180b421,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
DEACTIVATE ELIGIBLE CUSTOMERS,Default.aspx?Module=f0f80a27-d5f6-4ebb-a147-a20a34d1a540,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
INVOICE KEY-IN,Default.aspx?Module=9d2ab7e2-50f7-4f7f-9235-414ddd2f1a3d,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
RECEIPT KEY-IN,Default.aspx?Module=891344b0-c8dd-4d22-b8cf-9b5952267f00,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
BRANCH VEHICLE MILEAGE,Default.aspx?Module=000050eb-3363-41f8-8ffd-1754bc1edfeb,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
DDL INSPECTION SHEET,Default.aspx?Module=bb4f33fe-59b9-4b44-94cb-11c1dd1469b8,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
LOAD SHEET,Default.aspx?Module=20049807-994b-41b6-b7a3-433fb1c3867f,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
USER,Default.aspx?Module=33313223-35f3-4dfd-b88d-709385ebc23c,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
VEHICLE,Default.aspx?Module=5b1851f8-7e02-4c61-ab5e-9ff72cfb3048,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
VEHICLE TRANSFER,Default.aspx?Module=bb54fc3d-73ab-46fe-98fa-af647b702881,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
EOP PROJECT,Default.aspx?Module=ffaf6897-4816-4a47-86e6-603ef86a43bb,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
ON CALL MESSAGE REVIEW,Default.aspx?Module=6a1be809-1f1f-4e4c-9cb9-38a27b9fa99e,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
ON CALL USER,Default.aspx?Module=3ed606dc-1700-4ddf-a969-1ebd50d6773b,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
BRANCH AP PERIOD,Default.aspx?Module=91faa652-f020-4f56-a4f7-81c856d9f0ea,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
